Account name,Ad name,Campaign name,Ads,Ad set name,Region,Month,Reach,Impressions,Frequency,Currency,Amount spent (USD),Attribution setting,Link clicks,CPC (cost per link click),Clicks (all),CPC (all),"CPM (cost per 1,000 impressions)",CTR (all),Page engagement,Facebook likes,Post comments,Post engagements,Post reactions,Post shares,Photo views,Cost per Page engagement,Cost per like,Cost per post engagement,CTR (link click-through rate),Reporting starts,Reporting ends
,,,,,,,52987,92653,1.74859871,USD,1311.14,,2497,0.5250861,3345,0.3919701,14.15107984,3.61024468,19816,7,17,19809,762,207,,0.06616572,187.3057143,0.06618911,2.69500178,2025-12-01,2025-12-13
The Gold Standard,New Traffic Basic,Beleaf,New Traffic Basic,New Traffic Video / Picture,Unknown,2025-12-01 - 2025-12-13,0,1,0,USD,0.03,7-day click or 1-day view,,,0,0,30.01257651,0,,,,,,,,,,,,2025-12-01,2025-12-13
The Gold Standard,Brooklyn Bowl 1,Brooklyn Bowl,Brooklyn Bowl 1,New Traffic Ad set with recommended settings,Connecticut,2025-12-01 - 2025-12-13,366,412,1.12568306,USD,7.14,7-day click or 1-day view,23,0.31055123,22,0.32466719,17.33659777,5.33980583,215,,,215,14,4,,0.03322176,,0.03322176,5.58252427,2025-12-01,2025-12-13
The Gold Standard,New Traffic Ad,New Traffic Campaign,New Traffic Ad,New Traffic Ad Set,Connecticut,2025-12-01 - 2025-12-13,194,201,1.03608247,USD,1.12,7-day click or 1-day view,3,0.37333333,3,0.37333333,5.5721393,1.49253731,3,,,3,,,,0.37333333,,0.37333333,1.49253731,2025-12-01,2025-12-13
The Gold Standard,New Traffic Basic,Beleaf,New Traffic Basic,New Traffic Video / Picture,Connecticut,2025-12-01 - 2025-12-13,1628,3804,2.33660934,USD,38.21,7-day click or 1-day view,71,0.53811282,81,0.47167913,10.04364088,2.12933754,80,,,80,9,,,0.47757512,,0.47757512,1.86645636,2025-12-01,2025-12-13
The Gold Standard,New Traffic Ad - Copy,New Traffic Campaign,New Traffic Ad - Copy,New Traffic Ad Set,Connecticut,2025-12-01 - 2025-12-13,521,893,1.71401152,USD,18.60,7-day click or 1-day view,22,0.84558622,44,0.42279311,20.8319114,4.92721165,162,,,162,,1,,0.1148327,,0.1148327,2.46360582,2025-12-01,2025-12-13
The Gold Standard,New Traffic Video,Beleaf,New Traffic Video,New Traffic Video / Picture,Connecticut,2025-12-01 - 2025-12-13,36,38,1.05555556,USD,0.22,7-day click or 1-day view,,,0,0,5.78947368,0,1,,,1,,,,0.22,,0.22,,2025-12-01,2025-12-13
The Gold Standard,Brooklyn Bowl 1,Brooklyn Bowl,Brooklyn Bowl 1,New Traffic Ad set with recommended settings,New Jersey,2025-12-01 - 2025-12-13,1247,1376,1.10344828,USD,25.64,7-day click or 1-day view,96,0.26707931,89,0.28808555,18.63344045,6.46802326,754,,2,754,45,17,,0.03400479,,0.03400479,6.97674419,2025-12-01,2025-12-13
The Gold Standard,Brooklyn Bowl 1,Brooklyn Bowl,Brooklyn Bowl 1,New Traffic Ad set with recommended settings,New York,2025-12-01 - 2025-12-13,9494,11074,1.1664209,USD,207.24,7-day click or 1-day view,782,0.26500986,715,0.28984295,18.71389811,6.45656493,6494,,7,6494,392,130,,0.03191218,,0.03191218,7.0615857,2025-12-01,2025-12-13
The Gold Standard,New Traffic Ad,New Traffic Campaign,New Traffic Ad,New Traffic Ad Set,New York,2025-12-01 - 2025-12-13,1688,1915,1.13447867,USD,14.53,7-day click or 1-day view,29,0.50103448,32,0.4540625,7.58746736,1.67101828,29,,,29,,,,0.50103448,,0.50103448,1.51436031,2025-12-01,2025-12-13
The Gold Standard,New Traffic Basic,Beleaf,New Traffic Basic,New Traffic Video / Picture,New York,2025-12-01 - 2025-12-13,10784,24153,2.23970697,USD,200.43,7-day click or 1-day view,405,0.49489874,464,0.43196981,8.29851323,1.92108641,447,,1,447,41,,,0.44839819,,0.44839819,1.67681033,2025-12-01,2025-12-13
The Gold Standard,New Traffic Ad - Copy,New Traffic Campaign,New Traffic Ad - Copy,New Traffic Ad Set,New York,2025-12-01 - 2025-12-13,7597,14173,1.86560484,USD,208.94,7-day click or 1-day view,339,0.61633382,812,0.25731178,14.74191524,5.72920341,3294,,1,3294,15,2,,0.06342962,,0.06342962,2.39187187,2025-12-01,2025-12-13
The Gold Standard,High Today Thanksgiving Weekend,High Today Thanksgiving Weekend,High Today Thanksgiving Weekend,High Today Thanksgiving Weekend,New York,2025-12-01 - 2025-12-13,4642,4880,1.051271,USD,46.95,7-day click or 1-day view,126,0.37261905,196,0.23954082,9.62090164,4.01639344,160,,,160,24,9,,0.2934375,,0.2934375,2.58196721,2025-12-01,2025-12-13
The Gold Standard,New Traffic Video,Beleaf,New Traffic Video,New Traffic Video / Picture,New York,2025-12-01 - 2025-12-13,321,485,1.51090343,USD,2.59,7-day click or 1-day view,4,0.6475,5,0.518,5.34020619,1.03092784,30,,,30,1,,,0.08633333,,0.08633333,0.82474227,2025-12-01,2025-12-13
