Strategy Name,Placement Name,Creative Name,Creative Size,Event Date,Impressions,Clicks, Media Spend ,Conversions,Conversion Value, ROAS 
Prospecting,Audience | Cannabis Consumers,Creative 2,728x90,11/4/2025,865,1, $ 4.76 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 2,320x50,11/4/2025,3409,0, $ 18.75 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 2,160x600,11/4/2025,107,0, $ 0.59 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 2,320x100,11/4/2025,264,2, $ 1.45 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 2,320x100,11/3/2025,211,0, $ 1.16 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 2,160x600,11/3/2025,128,0, $ 0.70 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 2,728x90,11/3/2025,659,3, $ 3.62 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 2,320x50,11/3/2025,3191,2, $ 17.55 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 4,160x600,11/3/2025,1,0, $ 0.01 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 5,300x250,11/6/2025,4,1, $ 0.02 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 5,320x50,11/6/2025,5,1, $ 0.03 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 5,320x50,11/5/2025,3,0, $ 0.02 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 5,300x250,11/5/2025,1,0, $ 0.01 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 5,320x50,11/4/2025,3457,2, $ 19.01 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 5,160x600,11/4/2025,113,0, $ 0.62 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 5,300x250,11/4/2025,8405,9, $ 46.23 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 5,320x100,11/4/2025,204,0, $ 1.12 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 5,728x90,11/4/2025,941,2, $ 5.18 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 5,728x90,11/3/2025,697,0, $ 3.83 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 5,320x100,11/3/2025,195,0, $ 1.07 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 5,300x250,11/3/2025,6410,3, $ 35.25 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 5,320x50,11/3/2025,3126,4, $ 17.19 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 5,160x600,11/3/2025,141,0, $ 0.78 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 6,320x50,11/8/2025,3,0, $ 0.02 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 6,320x50,11/7/2025,2,0, $ 0.01 ,1,68.75," $ 6,250.00 "
Prospecting,Audience | Cannabis Consumers,Creative 6,300x250,11/6/2025,0,1,,1,172.75,#DIV/0!
Prospecting,Audience | Cannabis Consumers,Creative 6,160x600,11/5/2025,3,0, $ 0.02 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 6,320x50,11/5/2025,0,0,,1,69.25,#DIV/0!
Prospecting,Audience | Cannabis Consumers,Creative 6,160x600,11/4/2025,115,0, $ 0.63 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 6,320x50,11/4/2025,3968,6, $ 21.82 ,1,15, $ 0.69 
Prospecting,Audience | Cannabis Consumers,Creative 6,728x90,11/4/2025,954,3, $ 5.25 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 6,320x100,11/4/2025,190,0, $ 1.05 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 6,300x250,11/4/2025,9115,6, $ 50.13 ,1,95, $ 1.89 
Prospecting,Audience | Cannabis Consumers,Creative 6,160x600,11/3/2025,124,1, $ 0.68 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 6,320x100,11/3/2025,343,0, $ 1.89 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 6,320x50,11/3/2025,3919,8, $ 21.55 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 6,728x90,11/3/2025,735,1, $ 4.04 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 6,300x250,11/3/2025,7194,3, $ 39.57 ,1,95, $ 2.40 
Prospecting,Audience | Cannabis Consumers,Creative 7,320x50,11/6/2025,2,1, $ 0.01 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 7,728x90,11/5/2025,4,0, $ 0.02 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 7,160x600,11/5/2025,3,0, $ 0.02 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 7,320x50,11/4/2025,3373,5, $ 18.55 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 7,320x100,11/4/2025,269,0, $ 1.48 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 7,300x250,11/4/2025,8432,8, $ 46.38 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 7,728x90,11/4/2025,856,2, $ 4.71 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 7,160x600,11/4/2025,126,0, $ 0.69 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 7,728x90,11/3/2025,683,1, $ 3.76 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 7,320x100,11/3/2025,199,0, $ 1.09 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 7,300x250,11/3/2025,6490,2, $ 35.69 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 7,160x600,11/3/2025,141,0, $ 0.78 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 7,320x50,11/3/2025,3214,2, $ 17.68 ,0,250, $ 14.14 
Prospecting,Audience | Cannabis Consumers,Creative 8,300x250,11/9/2025,1,0, $ 0.01 ,1,99," $ 18,000.00 "
Prospecting,Audience | Cannabis Consumers,Creative 8,300x250,11/8/2025,3,0, $ 0.02 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 8,320x50,11/7/2025,2,1, $ 0.01 ,0,0, $ -   
Prospecting,Audience | Cannabis Consumers,Creative 8,300x250,11/6/2025,1,0, $ 0.01 ,2,93," $ 16,909.09 "
Prospecting,Audience | Cannabis Consumers,Creative 8,320x50,11/6/2025,2,1, $ 0.01 ,1,159.5," $ 14,500.00 "
