date,campaign_name,strategy_name,placement_name,creative_name,source,impressions,clicks,conversions,conversion_revenue,cpm,spend,ctr,cpc,cpa,roas
11/4/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 2,surfside,865,1,0,0.0,17.0,14.71,0.12,14.71,0.0,0.0
11/4/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 2,surfside,3409,0,0,0.0,17.0,57.95,0.0,0.0,0.0,0.0
11/4/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 2,surfside,107,0,0,0.0,17.0,1.82,0.0,0.0,0.0,0.0
11/4/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 2,surfside,264,2,0,0.0,17.0,4.49,0.76,2.25,0.0,0.0
11/3/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 2,surfside,211,0,0,0.0,17.0,3.59,0.0,0.0,0.0,0.0
11/3/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 2,surfside,128,0,0,0.0,17.0,2.18,0.0,0.0,0.0,0.0
11/3/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 2,surfside,659,3,0,0.0,17.0,11.2,0.46,3.73,0.0,0.0
11/3/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 2,surfside,3191,2,0,0.0,17.0,54.25,0.06,27.13,0.0,0.0
11/3/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 4,surfside,1,0,0,0.0,17.0,0.02,0.0,0.0,0.0,0.0
11/6/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 5,surfside,4,1,0,0.0,17.0,0.07,25.0,0.07,0.0,0.0
11/6/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 5,surfside,5,1,0,0.0,17.0,0.09,20.0,0.09,0.0,0.0
11/5/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 5,surfside,3,0,0,0.0,17.0,0.05,0.0,0.0,0.0,0.0
11/5/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 5,surfside,1,0,0,0.0,17.0,0.02,0.0,0.0,0.0,0.0
11/4/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 5,surfside,3457,2,0,0.0,17.0,58.77,0.06,29.39,0.0,0.0
11/4/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 5,surfside,113,0,0,0.0,17.0,1.92,0.0,0.0,0.0,0.0
11/4/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 5,surfside,8405,9,0,0.0,17.0,142.89,0.11,15.88,0.0,0.0
11/4/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 5,surfside,204,0,0,0.0,17.0,3.47,0.0,0.0,0.0,0.0
11/4/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 5,surfside,941,2,0,0.0,17.0,16.0,0.21,8.0,0.0,0.0
11/3/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 5,surfside,697,0,0,0.0,17.0,11.85,0.0,0.0,0.0,0.0
11/3/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 5,surfside,195,0,0,0.0,17.0,3.32,0.0,0.0,0.0,0.0
11/3/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 5,surfside,6410,3,0,0.0,17.0,108.97,0.05,36.32,0.0,0.0
11/3/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 5,surfside,3126,4,0,0.0,17.0,53.14,0.13,13.29,0.0,0.0
11/3/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 5,surfside,141,0,0,0.0,17.0,2.4,0.0,0.0,0.0,0.0
11/8/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 6,surfside,3,0,0,0.0,17.0,0.05,0.0,0.0,0.0,0.0
11/7/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 6,surfside,2,0,1,68.75,17.0,0.03,0.0,0.0,0.03,2291.67
11/6/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 6,surfside,0,1,1,172.75,17.0,0.0,0.0,0.0,0.0,0.0
11/5/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 6,surfside,3,0,0,0.0,17.0,0.05,0.0,0.0,0.0,0.0
11/5/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 6,surfside,0,0,1,69.25,17.0,0.0,0.0,0.0,0.0,0.0
11/4/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 6,surfside,115,0,0,0.0,17.0,1.96,0.0,0.0,0.0,0.0
11/4/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 6,surfside,3968,6,1,15.0,17.0,67.46,0.15,11.24,67.46,0.22
11/4/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 6,surfside,954,3,0,0.0,17.0,16.22,0.31,5.41,0.0,0.0
11/4/2025,Prospecting,Prospecting,Audience | Cannabis Consumers,Creative 6,surfside,190,0,0,0.0,17.0,3.23,0.0,0.0,0.0,0.0
