Date,Campaign,Strategy,Placement,Creative,Region,Source,Impressions,Clicks,Conversions,Revenue,CTR (%),Spend,CPC,CPA,ROAS
2025-11-09,,Retention,Retargeting | Website Visitors,Creative 7,surfside,2,0,1,104.00,0.00,0.03,,0.03,3466.67
2025-11-09,,Prospecting,Location | Geo-Conquest Customers of Nearby Competitors,Creative 8,surfside,3,0,0,0.00,0.00,0.05,,,
2025-11-09,,Prospecting,Location | Geo-Conquest Customers of Nearby Competitors,Creative 7,surfside,2,0,0,0.00,0.00,0.03,,,
2025-11-09,,Retention,Retargeting | Website Visitors,Creative 1,surfside,1,0,0,0.00,0.00,0.02,,,
2025-11-09,,Prospecting,Audience | Cannabis Consumers,Creative 8,surfside,1,0,1,99.00,0.00,0.02,,0.02,4950.00
2025-11-09,,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 5,surfside,3,0,2,253.90,0.00,0.05,,0.02,5078.00
2025-11-09,,Retention,Retargeting | Website Visitors,Creative 8,surfside,1,0,1,134.00,0.00,0.02,,0.02,6700.00
2025-11-09,,Prospecting,Location | Geo-Conquest Customers of Nearby Competitors,Creative 2,surfside,1,0,0,0.00,0.00,0.02,,,
2025-11-09,,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 8,surfside,1,0,0,0.00,0.00,0.02,,,
2025-11-08,,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 1,surfside,2,0,0,0.00,0.00,0.03,,,
2025-11-08,,Prospecting,Audience | Cannabis Consumers,Creative 8,surfside,3,0,0,0.00,0.00,0.05,,,
2025-11-08,,Prospecting,Location | Geo-Conquest Customers of Nearby Competitors,Creative 7,surfside,1,0,0,0.00,0.00,0.02,,,
2025-11-08,,Prospecting,Audience | Near-Market Cannabis Consumers,Creative 5,surfside,1,0,1,30.25,0.00,0.02,,0.02,1512.50
2025-11-08,,Retention,Retargeting | Website Visitors,Creative 8,surfside,3,0,0,0.00,0.00,0.05,,,
2025-11-08,,Retention,Retargeting | Website Visitors,Creative 1,surfside,1,0,0,0.00,0.00,0.02,,,
2025-11-08,,Prospecting,Location | Geo-Conquest Customers of Nearby Competitors,Creative 3,surfside,1,0,0,0.00,0.00,0.02,,,
2025-11-08,,Retention,Retargeting | Cart Abandoners,Creative 7,surfside,2,0,0,0.00,0.00,0.03,,,
2025-11-08,,Prospecting,Location | Geo-Conquest Customers of Nearby Competitors,Creative 5,surfside,1,0,0,0.00,0.00,0.02,,,
2025-11-08,,Prospecting,Location | Geo-Conquest Customers of Nearby Competitors,Creative 6,surfside,2,0,2,119.00,0.00,0.03,,0.02,3966.67
2025-11-08,,Prospecting,Audience | Cannabis Consumers,Creative 6,surfside,3,0,0,0.00,0.00,0.05,,,
2025-11-08,,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 5,surfside,6,0,0,0.00,0.00,0.10,,,
2025-11-08,,Prospecting,Location | Geo-Conquest Customers of Nearby Competitors,Creative 8,surfside,1,0,0,0.00,0.00,0.02,,,
2025-11-08,,Retention,Retargeting | Website Visitors,Creative 6,surfside,1,0,1,55.00,0.00,0.02,,0.02,2750.00
2025-11-07,,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 5,surfside,2,0,1,35.40,0.00,0.03,,0.03,1180.00
2025-11-07,,Retention,Retargeting | Website Visitors,Creative 6,surfside,1,0,1,127.58,0.00,0.02,,0.02,6379.00
2025-11-07,,Prospecting,Audience | Near-Market Cannabis Consumers,Creative 5,surfside,1,0,0,0.00,0.00,0.02,,,
2025-11-07,,Prospecting,Audience | Cannabis Consumers,Creative 6,surfside,2,0,1,68.75,0.00,0.03,,0.03,2291.67
2025-11-07,,Retention,Retargeting | Website Visitors,Creative 8,surfside,1,0,2,286.50,0.00,0.02,,0.01,14325.00
2025-11-07,,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 8,surfside,1,0,2,156.00,0.00,0.02,,0.01,7800.00
2025-11-07,,Prospecting,Audience | Cannabis Consumers,Creative 8,surfside,2,1,0,0.00,0.50,0.03,0.03,,
2025-11-07,,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 1,surfside,1,0,0,0.00,0.00,0.02,,,
2025-11-07,,Prospecting,Location | Geo-Conquest Customers of Nearby Competitors,Creative 3,surfside,1,0,0,0.00,0.00,0.02,,,
2025-11-07,,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 2,surfside,1,0,1,50.91,0.00,0.02,,0.02,2545.50
2025-11-07,,Prospecting,Location | Geo-Conquest Customers of Nearby Competitors,Creative 6,surfside,1,0,1,202.50,0.00,0.02,,0.02,10125.00
2025-11-07,,Retention,Retargeting | Cart Abandoners,Creative 7,surfside,1,0,0,0.00,0.00,0.02,,,
2025-11-07,,Prospecting,Location | Geo-Conquest Customers of Nearby Competitors,Creative 5,surfside,1,0,0,0.00,0.00,0.02,,,
2025-11-07,,Prospecting,Location | Geo-Conquest Customers of Nearby Competitors,Creative 2,surfside,1,0,0,0.00,0.00,0.02,,,
2025-11-07,,Prospecting,Location | Geo-Conquest Customers of Nearby Competitors,Creative 1,surfside,1,0,0,0.00,0.00,0.02,,,
2025-11-06,,Prospecting,Location | Geo-Conquest Customers of Nearby Competitors,Creative 3,surfside,2,0,0,0.00,0.00,0.03,,,
2025-11-06,,Prospecting,Location | Geo-Conquest Customers of Nearby Competitors,Creative 7,surfside,7,2,0,0.00,0.29,0.12,0.06,,
2025-11-06,,Retention,Retargeting | Cart Abandoners,Creative 6,surfside,2,1,1,33.00,0.50,0.03,0.03,0.03,1100.00
2025-11-06,,Prospecting,Location | Geo-Conquest Customers of Nearby Competitors,Creative 8,surfside,6,3,2,157.25,0.50,0.10,0.03,0.05,1572.50
2025-11-06,,Retention,Retargeting | Website Visitors,Creative 7,surfside,4,1,2,183.00,0.25,0.07,0.07,0.04,2614.29
2025-11-06,,Retention,Audience | Lapsed Purchasers (Last Purchased between 45 days and 12 months),Creative 6,surfside,2,1,0,0.00,0.50,0.03,0.03,,
2025-11-06,,Retention,Retargeting | Cart Abandoners,Creative 1,surfside,1,0,0,0.00,0.00,0.02,,,
2025-11-06,,Retention,Audience | Lapsed Purchasers (Last Purchased between 45 days and 12 months),Creative 8,surfside,2,0,0,42.00,0.00,0.03,,,1400.00
2025-11-06,,Prospecting,Audience | CRM/POS-based Lookalike Audience,Creative 2,surfside,1,0,2,91.30,0.00,0.02,,0.01,4565.00
2025-11-06,,Retention,Audience | Recent Purchasers (Last Purchased within the last 45 days),Creative 8,surfside,1,0,2,143.50,0.00,0.02,,0.01,7175.00
